iter	RMSE
0	234.5210019
1	226.8115569
2	219.7084387
3	212.3537889
4	205.2779243
5	198.2933103
6	191.4362418
7	184.7275347
8	178.5560761
9	172.4491227
10	166.5462306
11	161.1714348
12	155.635861
13	150.3488126
14	145.2198756
15	140.4888249
16	135.4501567
17	131.0631143
18	126.6608324
19	122.6457869
20	118.7428968
21	114.7534264
22	111.1848829
23	107.3689448
24	104.122766
25	100.539897
26	97.83688921
27	94.5149489
28	91.32339912
29	88.36474896
30	85.46268334
31	82.58414079
32	79.88141511
33	77.25544577
34	74.78243141
35	72.42555576
36	69.87902109
37	67.60607646
38	65.41872363
39	63.44151438
40	61.23542938
41	59.50248632
42	57.66483674
43	55.96966999
44	54.25582979
45	52.42882548
46	50.8316281
47	49.18738473
48	47.68891867
49	46.37025624
50	44.981313
51	43.60036029
52	42.31611469
53	41.07769127
54	39.89666289
55	38.70812533
56	37.52307041
57	36.36094363
58	35.27676779
59	34.28260031
60	33.24999903
61	32.2974787
62	31.31813097
63	30.4906107
64	29.62014455
65	28.8318258
66	27.96128302
67	27.12648594
68	26.27887201
69	25.5195416
70	24.83093018
71	24.1814878
72	23.50594943
73	22.80133441
74	22.17718798
75	21.59668974
76	21.01721984
77	20.40976507
78	19.80936727
79	19.26691534
80	18.73180708
81	18.19510744
82	17.76747022
83	17.35973597
84	16.90879618
85	16.42655105
86	16.01938882
87	15.60202205
88	15.23556284
89	14.86135449
90	14.47499118
91	14.1392122
92	13.80757575
93	13.44128562
94	13.12712491
95	12.82124714
96	12.53102147
97	12.23353048
98	11.97280307
99	11.6916625
100	11.42108219
101	11.15763095
102	10.93871591
103	10.73213956
104	10.48556366
105	10.27529896
106	10.08161086
107	9.874103489
108	9.707051241
109	9.531003527
110	9.378673201
111	9.20713708
112	9.066740954
113	8.912109232
114	8.753119892
115	8.633248922
116	8.501439833
117	8.366203879
118	8.230633284
119	8.097724727
120	8.005854588
121	7.896383445
122	7.784884945
123	7.674719426
124	7.578420907
125	7.485628355
126	7.400324524
127	7.306364823
128	7.227386629
129	7.15544139
130	7.080333132
131	7.008726537
132	6.935857335
133	6.858804234
134	6.795705302
135	6.723300056
136	6.656469964
137	6.601000971
138	6.532225961
139	6.470411225
140	6.410719817
141	6.358350683
142	6.299013182
143	6.252201608
144	6.210555332
145	6.166248154
146	6.131415068
147	6.075554718
148	6.037394381
149	6.005681898
150	5.969398004
151	5.932314526
152	5.89344413
153	5.851444483
154	5.822951813
155	5.790903253
156	5.746670771
157	5.715780683
158	5.688867305
159	5.66305724
160	5.634427087
161	5.615205155
162	5.589315797
163	5.569304268
164	5.548972401
165	5.507645089
166	5.482346277
167	5.456993738
168	5.429362935
169	5.40823263
170	5.388455982
171	5.368046846
172	5.339706751
173	5.317654283
174	5.297961747
175	5.28616086
176	5.263919964
177	5.246498879
178	5.231399384
179	5.207706324
180	5.192177088
181	5.177360976
182	5.155648714
183	5.139887248
184	5.123270459
185	5.10903672
186	5.08417419
187	5.071633493
188	5.059823483
189	5.045403327
190	5.035166316
191	5.002300285
192	4.986997936
193	4.954351553
194	4.936154308
195	4.906790858
196	4.891574558
197	4.877181084
198	4.850338551
199	4.837658365
200	4.8276759
201	4.810367936
202	4.79882531
203	4.788291199
204	4.784811473
205	4.756151415
206	4.739024055
207	4.72915844
208	4.703536166
209	4.68321944
210	4.657811509
211	4.651641808
212	4.646548057
213	4.630315541
214	4.623712769
215	4.6074795
216	4.598981934
217	4.584593169
218	4.570961481
219	4.548349085
220	4.519374518
221	4.508601154
222	4.503893383
223	4.476154557
224	4.459520274
225	4.45315772
226	4.447068975
227	4.440376872
228	4.421791188
229	4.409239521
230	4.400581937
231	4.377025527
232	4.370769874
233	4.347671414
234	4.343011443
235	4.31877587
236	4.304839601
237	4.292003152
238	4.284034344
239	4.27940261
240	4.274562643
241	4.253114147
242	4.239932463
243	4.222396877
244	4.201355323
245	4.184889587
246	4.174900746
247	4.163538505
248	4.157203094
249	4.148486224
250	4.142534733
251	4.135253625
252	4.114617382
253	4.101684811
254	4.088437392
255	4.084088974
256	4.072109511
257	4.066074016
258	4.055899774
259	4.038263609
260	4.029518244
261	4.023901663
262	4.012079419
263	3.994305825
264	3.984504599
265	3.980649766
266	3.973462717
267	3.969075972
268	3.952676485
269	3.937964069
270	3.929798035
271	3.921341199
272	3.907768785
273	3.896818545
274	3.892601816
275	3.88573194
276	3.877989387
277	3.872473988
278	3.861179322
279	3.852844235
280	3.845243891
281	3.839989444
282	3.833256131
283	3.824907016
284	3.821113981
285	3.811788145
286	3.804439812
287	3.796780218
288	3.786656207
289	3.780512869
290	3.764677601
291	3.759308449
292	3.753047897
293	3.74793035
294	3.741785128
295	3.738915429
296	3.732139816
297	3.728609881
298	3.713699503
299	3.702816718
300	3.688005709
301	3.675586393
302	3.662020426
303	3.652909433
304	3.650825589
305	3.645253035
306	3.641341063
307	3.631299138
308	3.62547785
309	3.621292577
310	3.610763083
311	3.596055199
312	3.588589483
313	3.580504029
314	3.573365975
315	3.567475743
316	3.559185454
317	3.540999065
318	3.532733095
319	3.525773348
320	3.509693823
321	3.503757133
322	3.497881922
323	3.495224107
324	3.488202794
325	3.47741769
326	3.461724716
327	3.452725238
328	3.435606636
329	3.429233034
330	3.420224992
331	3.412517249
332	3.408134074
333	3.402865434
334	3.397028992
335	3.392711819
336	3.390084095
337	3.386709644
338	3.381453445
339	3.366916354
340	3.361141906
341	3.352898368
342	3.350740048
343	3.346924042
344	3.334833181
345	3.327503408
346	3.325208673
347	3.316163501
348	3.314023521
349	3.311947494
350	3.307554123
351	3.304329581
352	3.292825752
353	3.285585818
354	3.282350418
355	3.277467143
356	3.267776092
357	3.261620639
358	3.258819367
359	3.254312788
360	3.248424015
361	3.245380752
362	3.240822263
363	3.236272917
364	3.23368756
365	3.227891808
366	3.215678614
367	3.20994311
368	3.205752388
369	3.196580996
370	3.19393498
371	3.184681715
372	3.169883868
373	3.156811561
374	3.148421885
375	3.139872349
376	3.133863199
377	3.129483327
378	3.121764851
379	3.115603711
380	3.107395172
381	3.099738618
382	3.087564773
383	3.084748024
384	3.077644035
385	3.070577069
386	3.066138385
387	3.057660304
388	3.053141055
389	3.047009003
390	3.044593079
391	3.039351821
392	3.033425886
393	3.025566139
394	3.020708964
395	3.016595276
396	3.005374423
397	3.001236451
398	2.991427464
399	2.982437378
400	2.973425634
401	2.966577988
402	2.95685546
403	2.9534203
404	2.948777399
405	2.946589011
406	2.942323498
407	2.933578415
408	2.92794226
409	2.921620774
410	2.917665493
411	2.916528366
412	2.911710782
413	2.90677234
414	2.901418862
415	2.895122893
416	2.893555798
417	2.888640496
418	2.879993876
419	2.874371083
420	2.8707629
421	2.863498212
422	2.855515867
423	2.850707406
424	2.842532817
425	2.83873544
426	2.835300923
427	2.830753724
428	2.825437802
429	2.820983195
430	2.819254609
431	2.815276887
432	2.810567429
433	2.803958028
434	2.799906733
435	2.797737912
436	2.79300009
437	2.78608543
438	2.782963337
439	2.779911688
440	2.777354859
441	2.772289635
442	2.768498847
443	2.764595959
444	2.762161499
445	2.759216081
446	2.753959784
447	2.750916683
448	2.747474505
449	2.746203441
450	2.745271079
451	2.73835898
452	2.734348255
453	2.733298479
454	2.731320279
455	2.730270806
456	2.725972772
457	2.721251789
458	2.711766963
459	2.707057461
460	2.699518307
461	2.696741462
462	2.694552409
463	2.687709678
464	2.683048329
465	2.67669444
466	2.675776276
467	2.671760392
468	2.667115967
469	2.661337736
470	2.653891962
471	2.651612952
472	2.649869196
473	2.642328276
474	2.637427637
475	2.633157717
476	2.629224494
477	2.628238321
478	2.623776431
479	2.618776682
480	2.61354374
481	2.607718682
482	2.606881776
483	2.602541408
484	2.599543816
485	2.593800919
486	2.588679164
487	2.587918278
488	2.583052565
489	2.579368169
490	2.57451262
491	2.569453459
492	2.564076348
493	2.555707173
494	2.553836671
495	2.549908106
496	2.544037688
497	2.543161217
498	2.542085146
499	2.538069567
500	2.531495596
501	2.529458921
502	2.523712912
503	2.521141606
504	2.517730322
505	2.517475775
506	2.514488522
507	2.509915982
508	2.508776573
509	2.506053032
510	2.502875913
511	2.498069623
512	2.493196615
513	2.488968373
514	2.488154865
515	2.485258354
516	2.482774961
517	2.478184837
518	2.476197906
519	2.469875481
520	2.467084104
521	2.463661656
522	2.458336921
523	2.455727524
524	2.451615625
525	2.450952092
526	2.447094568
527	2.443715633
528	2.441144412
529	2.438202534
530	2.434752669
531	2.433251696
532	2.430012079
533	2.425926968
534	2.42244335
535	2.416768601
536	2.414176228
537	2.408916892
538	2.405771214
539	2.401595153
540	2.398351158
541	2.391500002
542	2.390001545
543	2.385480257
544	2.381593359
545	2.376045827
546	2.373895954
547	2.37164667
548	2.369021271
549	2.364950119
550	2.364115274
551	2.360966861
552	2.356942984
553	2.355590985
554	2.35090612
555	2.347879538
556	2.34501298
557	2.340709508
558	2.336568514
559	2.334144092
560	2.331001839
561	2.326064472
562	2.320934946
563	2.317636089
564	2.31344851
565	2.311007893
566	2.30714518
567	2.305055978
568	2.303857428
569	2.303023681
570	2.299124996
571	2.297914746
572	2.296822667
573	2.291536907
574	2.28489179
575	2.283958678
576	2.281495508
577	2.277121856
578	2.272709441
579	2.267460357
580	2.264136627
581	2.259926389
582	2.2562085
583	2.251911337
584	2.248465191
585	2.244386781
586	2.240396686
587	2.238257475
588	2.235670994
589	2.233730258
590	2.231716266
591	2.226000438
592	2.224226947
593	2.222137448
594	2.221036982
595	2.219086911
596	2.217173672
597	2.215975671
598	2.213900457
599	2.210768295
600	2.207711257
601	2.206260601
602	2.201945295
603	2.199447651
604	2.196179954
605	2.194348009
606	2.190388099
607	2.189094749
608	2.187551814
609	2.185030491
610	2.183879989
611	2.182207848
612	2.17946821
613	2.17500099
614	2.173421102
615	2.168788186
616	2.164248059
617	2.160174419
618	2.157371746
619	2.153235764
620	2.149912684
621	2.146984039
622	2.144484725
623	2.143430106
624	2.142964359
625	2.141419542
626	2.139213949
627	2.138549454
628	2.134479631
629	2.13022339
630	2.126857273
631	2.124753043
632	2.123649072
633	2.119649678
634	2.11579649
635	2.112519068
636	2.110023997
637	2.108757012
638	2.106822651
639	2.106435641
640	2.102382317
641	2.098437264
642	2.095318419
643	2.092518506
644	2.089832299
645	2.086887788
646	2.083175048
647	2.080050702
648	2.078417236
649	2.075061114
650	2.073635846
651	2.070131587
652	2.068324213
653	2.064732777
654	2.062034014
655	2.057633961
656	2.054490364
657	2.050429347
658	2.049348795
659	2.045943622
660	2.044377442
661	2.038132152
